KW1;KW2;KW3;KW4;KW5;KW6;KW7;KW8;KW9;KW10;KW11;KW12;KW13;KW14;KW15;KW16;KW17;KW18;KW19;KW20;Target
'revistar'; 'porte'; 'receberam'; 'pm'; 'arma'; 'polícia'; 'resende'; 'policiais'; 'preso'; 'pistola'; 'jovem'; 'suspeito'; 'residência'; 'moradores';;;;;;;0
'rastreamento'; 'indaiá'; 'apreendido'; 'adolescente'; 'arma'; 'polícia'; '17'; 'pedra'; 'publicidade'; 'continua'; 'jovem'; 'volta'; 'simulacro'; 'realizou';;;;;;;0
'usou'; 'pôsteres'; 'fogo'; 'truques'; 'vilã'; 'arma'; 'bruxas'; 'hellboy'; 'nimue'; 'merlin'; 'westworld'; 'viveu'; 'espada'; 'of'; 'aparece';;;;;;0
'25'; 'posse'; 'crescem'; 'arma'; 'joinville'; 'decreto'; 'pedidos';;;;;;;;;;;;;;0
'crimes'; 'arma'; 'r'; 'militar'; 'civil'; 'polícia'; 'josué'; 'revólver'; 'munição'; 'associação'; 'apreendem'; 'município'; 'dinheiro'; 'drogas'; 'tráfico'; 'polícias'; 'senador'; 'guiomard'; 'droga';;0
'30'; 'segurança'; 'armas'; 'roubo'; 'clube'; 'ruas'; 'sp'; 'arma'; 'polícia'; 'quase'; 'tiro'; 'calibre'; 'gente'; 'mercado';;;;;;;0
'arremessar'; 'armas'; 'seres'; 'homens'; 'tentavam'; 'trio'; 'presídio'; 'curado'; 'polícia'; 'mulher'; 'complexo'; 'caseira'; 'tentando'; 'preso'; 'granada';;;;;;0
'flagrante'; 'prisão'; 'porte'; 'arma'; 'voz'; 'preso'; 'tocantinstoo'; 'atitudes'; 'militares'; '8º'; 'paraíso'; 'touma'; 'policiais'; 'homem'; 'torno'; 'fogo'; 'bpm'; 'ilegal'; 'tocantinsto';;0
'provoca'; 'foto'; 'instagram'; 'posta'; 'henrique'; 'comentários'; 'gatilho'; 'esportivo'; 'arma'; 'imagem'; 'seguidores'; 'mata'; 'polêmica'; 'fogaça'; 'umaà';;;;;;0
'laterais'; 'maconha'; 'forros'; 'carro'; 'escondidas'; 'fiscalização'; 'faróis'; 'arma'; 'motor'; 'garçadroga'; 'preso'; 'homem'; 'compartimento'; 'garça';;;;;;;0
'fogo'; 'perseguição'; 'motocicleta'; 'bias'; 'cor'; 'email'; 'motociclista'; 'ordem'; 'arma'; 'equipe'; 'êxito'; 'ocupantes'; 'fortes'; 'policial'; 'cidade'; 'dispensa';;;;;0
'espírito'; 'homicídio'; 'manteninhaele'; 'santo'; 'arma'; 'pedras'; 'preso'; 'homem'; 'valadares'; 'manteninha'; 'suspeito'; 'joão';;;;;;;;;0
